model_name,linear_regression_slope,t_test_p_value,mk_test_p_value
unsafe-9,-1.8748188805762048e-05,8.823296976786422e-62,0.25827870329801506
unsafe-7,8.054012162033837e-06,0.9999999999973332,0.9631808187092381
unsafe-8,-1.2481081456423644e-05,5.347877867998273e-267,0.22673435575637557
unsafe-5,2.2502312811688017e-06,2.0333245579773857e-235,0.880886321386106
vc-unsafe-4,-6.12109841689535e-06,1.0,0.9631808187092381
vc-unsafe-3,-2.4314450490725318e-05,7.607193519224934e-17,0.09701183817020392
vc-unsafe-1,7.03341161402555e-06,1.0,0.8504209326237432
vc-unsafe-2,5.944041957383798e-06,0.051514432521642076,0.7029169925875739
vc-unsafe-0,-3.486493428755918e-05,1.0,0.04222550459826092
vc-unsafe-6,-2.6562603443972252e-05,5.705900062467298e-65,0.14488777305853204
